param_129,param_59,param_111,param_28,param_316,outcome,wafer_id
-0.0473,-1.7264,231.2012,64.2333,6.2698,Pass,1
-0.0946,0.8073,231.2012,68.4222,5.6522,Pass,2
-0.1892,23.8245,231.2012,67.1333,5.7247,Fail,3
0.2838,24.3791,231.2012,62.9333,5.444,Pass,4
-0.5677,-12.2945,231.2012,62.8333,4.8956,Pass,5
-0.0946,28.2955,231.2012,62.3778,5.5901,Pass,6
-0.4731,2.1109,231.2012,60.8,4.9162,Pass,7
0.7096,29.1309,231.2012,67.3,4.8066,Pass,8
0.7096,26.9791,231.2012,62.8,4.3824,Pass,9
0.7096,28.3118,231.2012,67.0333,4.9838,Pass,10
-0.5677,27.8373,231.2012,68.7111,5.2778,Fail,11
-0.5677,25.0836,231.2012,64.7667,4.6853,Fail,12
-0.4731,22.6227,231.2012,63.3778,5.2108,Pass,13
0.0,-1.1927,231.2012,67.9889,6.4674,Pass,14
0.0,17.6382,231.2012,62.5,4.9515,Fail,15
-0.0473,20.4209,231.2012,61.2333,4.9296,Pass,16
-0.0473,-8.1182,231.2012,63.3556,6.5511,Pass,17
-0.0473,-5.5327,231.2012,60.2444,5.8924,Pass,18
-0.4258,0.4836,231.2012,66.2,6.8608,Pass,19
-0.4258,22.4736,231.2012,65.0778,5.2005,Pass,20
-0.4258,3.97,231.2012,67.2,7.2532,Pass,21
-0.4258,0.12,231.2012,65.1667,6.7289,Pass,22
0.0473,-3.6564,231.2012,66.3556,6.6914,Pass,23
-0.4731,18.3936,231.2012,62.5,5.1588,Fail,24
0.0946,15.3536,231.2012,64.6778,5.7899,Pass,25
-0.615,2.9964,231.2012,67.0333,5.196,Pass,26
-0.615,-6.9155,231.2012,68.0333,5.45,Pass,27
-0.0473,17.3873,231.2012,62.8889,4.4239,Pass,28
-0.615,13.1136,231.2012,66.1667,4.1865,Pass,29
-0.0473,14.7073,231.2012,65.6333,6.2102,Pass,30
-0.0473,29.5109,231.2012,68.6444,4.6253,Pass,31
-0.615,13.1482,231.2012,65.3667,5.8491,Pass,32
0.0946,-3.3864,231.2012,62.6667,5.3701,Pass,33
0.0946,4.4036,231.2012,65.4556,4.6444,Pass,34
-0.0473,17.5473,231.2012,66.8889,4.6263,Pass,35
0.0946,-10.1245,231.2012,66.4778,4.5125,Pass,36
-0.0473,13.9782,231.2012,65.2667,4.5344,Pass,37
-0.0473,13.4891,231.2012,65.2222,5.9735,Pass,38
-0.0473,24.9027,231.2012,68.3222,4.0902,Fail,39
-1.108,23.4736,231.2012,70.5111,5.4109,Pass,40
-0.0473,15.1509,231.2012,63.5111,4.1708,Fail,41
0.0946,-2.6636,231.2012,64.1778,5.8979,Pass,42
0.0946,-2.4636,231.2012,62.2889,4.9579,Pass,43
-1.204,19.3136,231.2012,69.0,4.2384,Pass,44
-0.4258,8.3045,231.2012,60.8444,5.5408,Pass,45
-0.4258,5.03,231.2012,69.0667,5.3607,Fail,46
0.0946,12.0945,231.2012,63.1333,5.1749,Pass,47
0.0946,23.1373,231.2012,61.8667,4.9516,Pass,48
-1.108,25.0382,231.2012,69.0667,4.7265,Fail,49
-0.4258,23.3109,231.2012,69.5556,5.1077,Fail,50
-0.4258,23.9555,231.2012,68.3556,5.5385,Fail,51
-0.1419,21.39,231.2012,64.4222,4.665,Pass,52
-0.1419,1.5882,231.2012,67.2667,5.5737,Pass,53
0.0946,0.6782,231.2012,64.0778,4.3439,Pass,54
0.0946,20.0455,231.2012,62.3667,5.3269,Pass,55
0.0946,21.8964,231.2012,64.7111,5.4366,Pass,56
0.0473,22.8809,231.2012,70.0889,5.6503,Pass,57
-0.1419,2.5209,231.2012,63.4,5.1458,Fail,58
-0.615,15.9527,231.2012,63.6,6.4035,Fail,59
0.1892,-1.6545,231.2012,66.7222,5.5012,Pass,60
0.0,6.7391,231.2012,68.0222,6.0092,Pass,61
0.0473,13.8118,231.2012,63.9778,4.3153,Pass,62
0.0473,18.3209,231.2012,68.0,5.115,Fail,63
0.3311,16.4582,231.2012,63.5778,5.2632,Pass,64
0.0,9.05,231.2012,68.1222,4.4627,Fail,65
0.0,18.8309,231.2012,67.8444,5.9995,Pass,66
0.0,18.2809,231.2012,65.1667,4.5431,Pass,67
0.0,19.8,231.2012,61.6222,5.3492,Pass,68
0.0,11.6818,231.2012,65.6333,4.3109,Pass,69
0.0,22.4345,231.2012,68.3444,4.9353,Pass,70
0.0,17.1627,231.2012,68.3,4.6734,Pass,71
-0.3311,25.4573,231.2012,70.7667,4.7397,Pass,72
0.0473,20.5509,231.2012,63.3444,4.9899,Pass,73
-0.3311,18.6827,231.2012,65.4667,5.7303,Pass,74
0.8042,25.4427,231.2012,65.2889,4.0636,Pass,75
0.0473,17.6373,231.2012,64.8111,5.2115,Pass,76
0.8042,24.3509,231.2012,64.6444,4.4431,Pass,77
0.8042,12.0627,231.2012,64.6222,3.8954,Pass,78
0.0473,9.5227,231.2012,60.9222,3.9957,Pass,79
-0.3311,22.9245,231.2012,67.5333,4.746,Pass,80
0.8042,9.3336,231.2012,64.0,4.49,Pass,81
-0.4731,12.5391,231.2012,68.5444,4.3171,Pass,82
0.0,12.4309,231.2012,62.8333,5.3995,Fail,83
-0.4731,28.6355,231.2012,67.5222,5.2164,Pass,84
0.0473,8.6927,231.2012,62.6556,4.1082,Pass,85
-0.4731,-5.3055,231.2012,64.1667,5.2837,Pass,86
-0.4731,-8.7491,231.2012,66.6889,4.8942,Pass,87
0.0,26.6582,231.2012,68.9222,5.2537,Pass,88
0.0,28.7064,231.2012,68.2222,6.8114,Pass,89
-0.1419,-8.2255,231.2012,66.0889,4.7156,Pass,90
0.0,28.1191,231.2012,61.2556,5.2147,Pass,91
-0.3311,8.6673,231.2012,67.0222,4.6593,Pass,92
0.0473,3.8509,231.2012,60.9111,5.469,Pass,93
-0.1419,-15.1964,231.2012,65.2,4.2296,Pass,94
0.7569,-6.4836,231.2012,64.8,4.1415,Pass,95
-0.1419,-11.2182,231.2012,65.3,4.2605,Pass,96
0.0473,11.5591,231.2012,62.7556,4.1373,Fail,97
0.0473,28.4227,231.2012,67.1556,5.2979,Pass,98
0.0473,24.4727,231.2012,61.7444,5.7258,Pass,99
0.0,5.1345,231.2012,60.5,5.3251,Pass,100
0.0473,24.8064,231.2012,67.8111,7.6145,Pass,101
0.1419,27.6182,231.2012,64.0,4.9451,Pass,102
0.1419,20.5864,231.2012,66.2556,4.4596,Pass,103
0.0473,27.6655,231.2012,61.7667,5.2551,Pass,104
0.7569,29.0264,231.2012,65.7333,4.6683,Pass,105
0.0,27.7364,231.2012,66.9778,3.9228,Pass,106
0.7569,24.8282,231.2012,61.6444,4.1939,Pass,107
0.7569,24.6118,231.2012,65.4333,3.7815,Pass,108
0.7569,27.7155,231.2012,62.9667,4.2139,Pass,109
0.0473,23.7864,231.2012,63.6444,4.8339,Pass,110
-0.1419,20.6,231.2012,68.3333,5.5196,Pass,111
0.0473,29.7509,231.2012,67.4,3.8059,Pass,112
0.0,23.9945,231.2012,63.3556,5.4282,Pass,113
-0.1419,16.7909,231.2012,70.1667,5.6383,Pass,114
0.0473,23.7136,231.2012,64.6556,5.8419,Pass,115
0.0,18.5764,231.2012,60.2667,4.4137,Fail,116
0.0473,24.2918,231.2012,62.2111,6.0972,Pass,117
-0.1419,25.5127,231.2012,64.7111,4.3933,Pass,118
0.0,26.7064,231.2012,63.9444,4.8126,Pass,119
-0.3311,8.9136,231.2012,65.7778,4.0809,Pass,120
-0.1419,8.9418,231.2012,68.2556,5.1314,Pass,121
-0.1419,6.9918,231.2012,67.1778,4.291,Pass,122
0.6623,16.6036,231.2012,67.5778,5.4277,Pass,123
-0.0946,16.5255,231.2012,63.1444,5.0727,Pass,124
-0.3784,29.1918,231.2012,65.4778,5.9941,Pass,125
0.6623,10.08,231.2012,61.8778,4.9691,Pass,126
0.7569,3.9055,231.2012,61.8333,4.3009,Pass,127
0.3311,26.6527,231.2012,68.4333,7.4134,Pass,128
-0.0946,17.6864,231.2012,66.9333,5.7063,Pass,129
-0.0946,15.0182,231.2012,61.6778,4.593,Pass,130
-0.0946,15.7936,231.2012,69.3333,4.0226,Pass,131
0.0,6.6636,231.2012,67.6333,5.0305,Fail,132
0.6623,10.2109,231.2012,63.2778,5.1929,Pass,133
-0.1419,-19.1518,231.2012,66.0556,4.9213,Pass,134
-0.0473,22.2164,231.2012,63.9,4.0774,Pass,135
0.3311,25.8364,231.2012,63.3778,4.7194,Pass,136
0.3311,25.9591,231.2012,67.6556,3.7323,Pass,137
-0.3784,23.8864,231.2012,63.5778,4.3832,Pass,138
0.3311,23.0364,231.2012,67.3111,5.6844,Pass,139
0.6623,22.7418,231.2012,63.8444,4.8832,Pass,140
-0.615,-9.2836,231.2012,65.9556,6.4762,Pass,141
-0.615,-17.9336,231.2012,65.8333,6.2982,Pass,142
0.0946,23.5609,231.2012,62.9667,4.7793,Pass,143
0.0946,-8.3127,231.2012,64.0778,5.3704,Pass,144
-0.0473,5.3382,231.2012,63.4889,5.4647,Pass,145
0.6623,23.8745,231.2012,62.9889,5.2167,Pass,146
0.3311,27.3427,231.2012,68.0444,3.665,Pass,147
0.0946,17.3018,231.2012,63.0,5.4289,Pass,148
0.1892,26.2655,231.2012,66.2222,6.0744,Pass,149
0.0946,-21.2055,231.2012,65.3222,4.8407,Pass,150
0.1892,-7.5382,231.2012,65.0444,4.7816,Pass,151
-0.0946,4.3109,231.2012,64.0,6.32,Pass,152
0.6623,29.1164,231.2012,66.7111,4.594,Pass,153
0.0946,15.8609,231.2012,67.9778,3.9193,Pass,154
0.6623,26.7745,231.2012,65.8,4.422,Fail,155
0.0946,-3.2509,231.2012,70.2444,4.8207,Pass,156
0.6623,0.2309,231.2012,61.2222,5.0611,Pass,157
-0.0473,26.4509,231.2012,63.9,4.8377,Fail,158
-0.0946,-12.1527,231.2012,69.0111,4.4012,Fail,159
0.1419,-1.5664,231.2012,71.1222,5.7831,Pass,160
0.7569,14.6455,231.2012,68.8556,5.337,Pass,161
0.1419,9.6745,231.2012,63.2556,5.585,Pass,162
0.7569,9.8418,231.2012,67.6333,4.8314,Pass,163
-0.3784,-5.8682,231.2012,63.3889,4.7371,Pass,164
0.7569,-12.1373,231.2012,65.3556,6.3078,Pass,165
0.7569,12.8364,231.2012,69.8778,4.6985,Pass,166
0.2365,9.4982,231.2012,68.3444,3.9338,Pass,167
0.1419,2.5827,231.2012,70.1889,5.2221,Fail,168
0.2365,15.1073,231.2012,70.4,5.0504,Pass,169
0.0,4.4282,231.2012,69.3222,4.5434,Fail,170
0.0,17.7927,231.2012,61.3222,6.2823,Pass,171
0.0,22.7927,231.2012,63.3778,5.4789,Pass,172
0.1419,4.6609,231.2012,65.5111,5.8307,Pass,173
0.0,26.0509,231.2012,65.3111,4.2122,Pass,174
-0.0946,17.1673,231.2012,62.7444,6.4075,Pass,175
-0.0946,27.7282,231.2012,65.8444,4.5623,Pass,176
0.0,-13.1245,231.2012,67.8222,3.7293,Pass,177
0.1419,-10.8745,231.2012,63.3111,5.0754,Pass,178
-0.0946,-13.3573,231.2012,68.1556,5.0243,Pass,179
0.0,-2.2809,231.2012,68.0444,4.1319,Pass,180
0.7569,4.9745,231.2012,62.7889,6.13,Fail,181
0.1419,0.3764,231.2012,69.9333,5.3784,Pass,182
0.0,27.4136,231.2012,63.7889,6.987,Fail,183
0.0946,-10.1291,231.2012,65.5778,4.313,Pass,184
-0.0946,-11.4709,231.2012,68.9444,5.4805,Pass,185
0.1419,3.8964,231.2012,67.8,4.9096,Pass,186
0.2365,12.8982,231.2012,61.3333,5.4567,Fail,187
0.7569,0.4836,231.2012,65.5889,5.4037,Pass,188
0.1419,12.3073,231.2012,64.1333,5.5162,Fail,189
0.1419,21.7573,231.2012,63.1333,5.5,Fail,190
-0.1892,10.0236,231.2012,66.7,5.3995,Pass,191
-0.1892,8.0636,231.2012,67.7222,4.4058,Pass,192
-0.1892,2.0427,231.2012,63.7556,5.3712,Pass,193
-0.1419,17.4,231.2012,67.4,4.9574,Pass,194
-0.1892,3.28,231.2012,64.7333,4.9891,Pass,195
-0.1419,9.2527,231.2012,66.5444,3.9714,Pass,196
0.0482,-17.3591,231.2012,64.7889,4.5489,Pass,197
0.0482,-9.4964,231.2012,64.9,4.9675,Pass,198
0.0482,-7.9627,231.2012,65.4444,3.8465,Pass,199
0.0482,1.1173,231.2012,62.8778,5.8851,Pass,200
-0.0946,8.3918,231.2012,67.7333,5.9989,Pass,201
0.1892,-15.5318,231.2012,63.9889,5.7133,Pass,202
0.7096,9.6564,231.2012,62.6778,6.1242,Pass,203
0.1892,13.7,231.2012,69.9,7.0901,Pass,204
-0.1892,6.5191,231.2012,67.5667,5.1286,Pass,205
